date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:20	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:23%20GMT	https://media.giphy.com/media/Yle8BEVjUyn4384qts/giphy.gif	/home/william/websites/asd/media.giphy.com/media/Yle8BEVjUyn4384qts/giphy.3d.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:21	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:23%20GMT	https://media.giphy.com/media/ls4gJ5o0xRlhsWEFpv/giphy.gif	/home/william/websites/asd/media.giphy.com/media/ls4gJ5o0xRlhsWEFpv/giphy.3e.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:22	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:25%20GMT	https://media.giphy.com/media/583zv5WDi3mIOjpB53/giphy.gif	/home/william/websites/asd/media.giphy.com/media/583zv5WDi3mIOjpB53/giphy.3f.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:23	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:25%20GMT	https://media.giphy.com/media/sRJdcg1Gx0gILbbXyo/giphy.gif	/home/william/websites/asd/media.giphy.com/media/sRJdcg1Gx0gILbbXyo/giphy.40.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:24	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:26%20GMT	https://media.giphy.com/media/w9ozWzmOE18zK/giphy.gif	/home/william/websites/asd/media.giphy.com/media/w9ozWzmOE18zK/giphy.41.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:25	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:27%20GMT	https://media.giphy.com/media/3og0IFVYFzYNC5u9kA/giphy.gif	/home/william/websites/asd/media.giphy.com/media/3og0IFVYFzYNC5u9kA/giphy.42.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:26	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:28%20GMT	https://media.giphy.com/media/23ccpVJ4WGRnnS43LF/giphy.gif	/home/william/websites/asd/media.giphy.com/media/23ccpVJ4WGRnnS43LF/giphy.43.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:27	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:30%20GMT	https://media.giphy.com/media/nW9iOmXWriQU0/giphy.gif	/home/william/websites/asd/media.giphy.com/media/nW9iOmXWriQU0/giphy.44.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:28	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:30%20GMT	https://media.giphy.com/media/WVUQ1zyiSJ4ly/giphy.gif	/home/william/websites/asd/media.giphy.com/media/WVUQ1zyiSJ4ly/giphy.45.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
10:28:29	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Oct%202020%2014:28:31%20GMT	https://media.giphy.com/media/1oDucHVK5Fgl7zKnTV/giphy.gif	/home/william/websites/asd/media.giphy.com/media/1oDucHVK5Fgl7zKnTV/giphy.46.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
